classifier_name,dataset_name,metric
Ordinal_1_svc1va,DistalPhalanxTW,0.6834532374100719
Ordinal_1_svc1va,ProximalPhalanxOutlineAgeGroup,0.8536585365853658
Ordinal_1_svc1va,ProximalPhalanxTW,0.7658536585365854
Ordinal_1_svc1va,DistalPhalanxOutlineAgeGroup,0.7553956834532374
Ordinal_1_svc1va,MiddlePhalanxOutlineAgeGroup,0.6103896103896104
Ordinal_1_svc1va,EthanolLevel,0.472
Ordinal_1_svorex,DistalPhalanxTW,0.6906474820143885
Ordinal_1_svorex,ProximalPhalanxOutlineAgeGroup,0.848780487804878
Ordinal_1_svorex,ProximalPhalanxTW,0.7609756097560976
Ordinal_1_svorex,DistalPhalanxOutlineAgeGroup,0.7482014388489209
Ordinal_1_svorex,MiddlePhalanxOutlineAgeGroup,0.6233766233766234
Ordinal_1_svorex,EthanolLevel,0.47
Standard_svc1va,DistalPhalanxTW,0.6762589928057554
Standard_svc1va,ProximalPhalanxOutlineAgeGroup,0.8634146341463415
Standard_svc1va,ProximalPhalanxTW,0.7804878048780488
Standard_svc1va,DistalPhalanxOutlineAgeGroup,0.7482014388489209
Standard_svc1va,MiddlePhalanxOutlineAgeGroup,0.6363636363636364
Standard_svc1va,EthanolLevel,0.524
Standard_svorex,DistalPhalanxTW,0.7194244604316546
Standard_svorex,ProximalPhalanxOutlineAgeGroup,0.8634146341463415
Standard_svorex,ProximalPhalanxTW,0.7707317073170732
Standard_svorex,DistalPhalanxOutlineAgeGroup,0.7410071942446043
Standard_svorex,MiddlePhalanxOutlineAgeGroup,0.6428571428571429
Standard_svorex,EthanolLevel,0.604
